,name,date,null_px,snow_px,cloud_px,shadow_px,vegetation_px,not_vegetation_px,water_px,uncertain_px
121,monadh_liath,2021-05-29 11:21:19,851717,0,0,0,0,0,0,0
122,southern_cairngorms,2021-05-29 11:21:19,921271,0,0,0,0,0,0,0
123,beinn_dearg,2021-05-29 11:21:19,103661,0,0,0,0,0,0,0
124,northern_cairngorms,2019-08-03 11:21:21,1324595,0,0,0,0,0,0,0
125,monadh_liath,2019-08-03 11:21:21,851717,0,0,0,0,0,0,0
126,southern_cairngorms,2019-08-03 11:21:21,921271,0,0,0,0,0,0,0
127,beinn_dearg,2019-08-03 11:21:21,103661,0,0,0,0,0,0,0
128,northern_cairngorms,2021-04-29 11:21:09,1324595,0,0,0,0,0,0,0
129,monadh_liath,2021-04-29 11:21:09,851717,0,0,0,0,0,0,0
130,southern_cairngorms,2021-04-29 11:21:09,921271,0,0,0,0,0,0,0
131,beinn_dearg,2021-04-29 11:21:09,103661,0,0,0,0,0,0,0
132,northern_cairngorms,2021-11-10 11:23:11,1324595,0,0,0,0,0,0,0
133,monadh_liath,2021-11-10 11:23:11,851717,0,0,0,0,0,0,0
134,southern_cairngorms,2021-11-10 11:23:11,921271,0,0,0,0,0,0,0
135,beinn_dearg,2021-11-10 11:23:11,103661,0,0,0,0,0,0,0
136,northern_cairngorms,2019-12-22 11:44:09,0,350130,781223,78921,528,174,34305,79314
137,monadh_liath,2019-12-22 11:44:09,0,331767,490064,3270,6,0,243,26367
138,southern_cairngorms,2019-12-22 11:44:09,0,101878,481309,97830,14752,8516,39198,177788
139,beinn_dearg,2019-12-22 11:44:09,0,23207,77079,3370,0,0,3,2
140,northern_cairngorms,2019-02-04 11:22:51,1324595,0,0,0,0,0,0,0
141,monadh_liath,2019-02-04 11:22:51,851717,0,0,0,0,0,0,0
142,southern_cairngorms,2019-02-04 11:22:51,921271,0,0,0,0,0,0,0
143,beinn_dearg,2019-02-04 11:22:51,103661,0,0,0,0,0,0,0
144,northern_cairngorms,2019-01-13 11:34:29,0,305782,669464,206655,693,243,88513,53245
145,monadh_liath,2019-01-13 11:34:29,0,237603,415063,82461,9,0,60134,56447
146,southern_cairngorms,2019-01-13 11:34:29,0,154542,428163,133891,7471,5566,102624,89014
147,beinn_dearg,2019-01-13 11:34:29,0,75331,27867,415,0,0,26,22
148,northern_cairngorms,2021-01-07 11:34:51,0,928780,296936,8522,348,0,25855,64154
149,monadh_liath,2021-01-07 11:34:51,0,769229,44525,1736,0,0,20884,15343
150,southern_cairngorms,2021-01-07 11:34:51,0,657265,108486,61341,92,152,52301,41634
151,beinn_dearg,2021-01-07 11:34:51,0,80140,4642,2596,1,0,7312,8970
152,northern_cairngorms,2020-01-20 11:24:01,1324595,0,0,0,0,0,0,0
153,monadh_liath,2020-01-20 11:24:01,851717,0,0,0,0,0,0,0
154,southern_cairngorms,2020-01-20 11:24:01,921271,0,0,0,0,0,0,0
155,beinn_dearg,2020-01-20 11:24:01,103661,0,0,0,0,0,0,0
156,northern_cairngorms,2023-06-13 11:21:21,1324595,0,0,0,0,0,0,0
157,monadh_liath,2023-06-13 11:21:21,851717,0,0,0,0,0,0,0
158,southern_cairngorms,2023-06-13 11:21:21,921271,0,0,0,0,0,0,0
159,beinn_dearg,2023-06-13 11:21:21,103661,0,0,0,0,0,0,0
160,northern_cairngorms,2022-12-15 11:25:01,1324595,0,0,0,0,0,0,0
161,monadh_liath,2022-12-15 11:25:01,851717,0,0,0,0,0,0,0
162,southern_cairngorms,2022-12-15 11:25:01,921271,0,0,0,0,0,0,0
163,beinn_dearg,2022-12-15 11:25:01,103661,0,0,0,0,0,0,0
164,northern_cairngorms,2020-11-03 11:33:19,0,178911,845951,201019,39389,5,8087,51233
165,monadh_liath,2020-11-03 11:33:19,0,249311,299837,96739,134439,3578,777,67036
166,southern_cairngorms,2020-11-03 11:33:19,0,2685,883491,15269,3022,9,0,16795
167,beinn_dearg,2020-11-03 11:33:19,0,2502,98852,958,0,0,0,1349
168,northern_cairngorms,2022-10-07 11:43:49,0,0,801562,124176,221850,73401,657,102949
169,monadh_liath,2022-10-07 11:43:49,0,0,203554,113955,463418,20805,134,49851
170,southern_cairngorms,2022-10-07 11:43:49,0,0,282848,167918,409003,22186,4856,34460
171,beinn_dearg,2022-10-07 11:43:49,0,0,94225,4422,0,3378,196,1440
172,northern_cairngorms,2020-04-19 11:21:11,1324595,0,0,0,0,0,0,0
173,monadh_liath,2020-04-19 11:21:11,851717,0,0,0,0,0,0,0
174,southern_cairngorms,2020-04-19 11:21:11,921271,0,0,0,0,0,0,0
175,beinn_dearg,2020-04-19 11:21:11,103661,0,0,0,0,0,0,0
176,northern_cairngorms,2023-06-09 11:43:51,0,37,1099148,714,212973,11477,0,246
177,monadh_liath,2023-06-09 11:43:51,0,0,161837,89,673998,15643,0,150
178,southern_cairngorms,2023-06-09 11:43:51,0,0,699633,9032,172827,27136,10,12633
179,beinn_dearg,2023-06-09 11:43:51,0,0,81433,0,20787,1441,0,0
180,northern_cairngorms,2019-02-02 11:33:19,0,992992,180654,61763,665,0,48762,39759
181,monadh_liath,2019-02-02 11:33:19,0,682365,122240,12141,383,0,18344,16244
182,southern_cairngorms,2019-02-02 11:33:19,1,710360,76963,69775,771,0,23792,39609
183,beinn_dearg,2019-02-02 11:33:19,2,96335,1682,1958,1,0,1077,2606
184,northern_cairngorms,2021-01-24 11:23:51,1324595,0,0,0,0,0,0,0
185,monadh_liath,2021-01-24 11:23:51,851717,0,0,0,0,0,0,0
186,southern_cairngorms,2021-01-24 11:23:51,921271,0,0,0,0,0,0,0
187,beinn_dearg,2021-01-24 11:23:51,103661,0,0,0,0,0,0,0
188,northern_cairngorms,2022-08-10 11:33:31,0,0,15663,20897,1187043,91984,5075,3933
189,monadh_liath,2022-08-10 11:33:31,0,0,290612,48058,490748,14657,316,7326
190,southern_cairngorms,2022-08-10 11:33:31,0,0,2,1910,903575,8513,6610,661
191,beinn_dearg,2022-08-10 11:33:31,0,0,19086,55,83274,1196,0,50
192,northern_cairngorms,2020-04-25 11:43:51,0,117412,49100,50610,662590,391701,5519,47663
193,monadh_liath,2020-04-25 11:43:51,0,91916,9311,1039,502147,224129,589,22586
